code,name,ktype,fq,tdate,open,close,high,low,cjl,cje,zf,zdf,zde,hsl
"股票代码","股票名称","K线类别","复权信息，除沪深京A股、B股、港股外，其余复权值默认为前复权","交易时间","开盘价","收盘价","最高价","最低价","成交量","成交额","振幅","涨跌幅","涨跌额","换手率"
000002,万  科Ａ,101,1,2024-01-24,9.23,9.41,9.44,9.1,844242.0,784494976,3.7,2.51,0.23,0.87
000002,万  科Ａ,101,1,2024-01-25,9.46,9.96,9.97,9.42,1512860.0,1473849984,5.84,5.84,0.55,1.56
000002,万  科Ａ,101,1,2024-01-26,9.95,10.2,10.35,9.9,1621420.0,1649469952,4.52,2.41,0.24,1.67
000002,万  科Ａ,101,1,2024-01-29,10.41,10.06,10.45,10.06,1145300.0,1167010048,3.82,-1.37,-0.14,1.18
000002,万  科Ａ,101,1,2024-01-30,10.0,9.79,10.05,9.79,797927.0,790364992,2.58,-2.68,-0.27,0.82
000002,万  科Ａ,101,1,2024-01-31,9.77,9.6,9.85,9.56,674789.0,652726976,2.96,-1.94,-0.19,0.69
000002,万  科Ａ,101,1,2024-02-01,9.53,9.44,9.66,9.42,627860.0,598049024,2.5,-1.67,-0.16,0.65
000002,万  科Ａ,101,1,2024-02-02,9.45,9.49,9.83,9.17,912154.0,869057984,6.99,0.53,0.05,0.94
000002,万  科Ａ,101,1,2024-02-05,9.38,9.18,9.44,9.03,1005140.0,928648000,4.32,-3.27,-0.31,1.03
000002,万  科Ａ,101,1,2024-02-06,9.15,9.51,9.56,9.08,1080200.0,1009329984,5.23,3.59,0.33,1.11
000002,万  科Ａ,101,1,2024-02-07,9.51,9.52,9.63,9.42,1155530.0,1098889984,2.21,0.11,0.01,1.19
000002,万  科Ａ,101,1,2024-02-08,9.66,10.06,10.08,9.61,1346290.0,1328240000,4.94,5.67,0.54,1.39
000002,万  科Ａ,101,1,2024-02-19,10.09,9.84,10.1,9.67,1356870.0,1329350016,4.27,-2.19,-0.22,1.4
000002,万  科Ａ,101,1,2024-02-20,9.9,9.9,10.02,9.78,908516.0,897980992,2.44,0.61,0.06,0.94
000002,万  科Ａ,101,1,2024-02-21,9.78,10.21,10.49,9.69,1834890.0,1865479936,8.08,3.13,0.31,1.89
000002,万  科Ａ,101,1,2024-02-22,10.12,10.15,10.24,10.04,923217.0,934646976,1.96,-0.59,-0.06,0.95
000002,万  科Ａ,101,1,2024-02-23,10.16,10.2,10.25,10.11,945695.0,962524992,1.38,0.49,0.05,0.97
000002,万  科Ａ,101,1,2024-02-26,10.17,9.98,10.19,9.95,1105920.0,1108550016,2.35,-2.16,-0.22,1.14
000002,万  科Ａ,101,1,2024-02-27,9.94,10.06,10.07,9.9,838920.0,838638976,1.7,0.8,0.08,0.86
000002,万  科Ａ,101,1,2024-02-28,10.06,9.93,10.16,9.93,1232700.0,1239810048,2.29,-1.29,-0.13,1.27
000002,万  科Ａ,101,1,2024-02-29,9.85,10.04,10.04,9.84,1113840.0,1104649984,2.01,1.11,0.11,1.15
000002,万  科Ａ,101,1,2024-03-01,9.99,9.89,10.01,9.82,1092650.0,1082470016,1.89,-1.49,-0.15,1.12
000002,万  科Ａ,101,1,2024-03-04,9.7,9.43,9.7,9.38,2014190.0,1908540032,3.24,-4.65,-0.46,2.07
000002,万  科Ａ,101,1,2024-03-05,9.32,9.48,9.49,9.2,1605440.0,1501309952,3.08,0.53,0.05,1.65
000002,万  科Ａ,101,1,2024-03-06,9.39,9.33,9.45,9.27,1038600.0,971313984,1.9,-1.58,-0.15,1.07
000002,万  科Ａ,101,1,2024-03-07,9.31,9.21,9.37,9.21,1046600.0,971392000,1.71,-1.29,-0.12,1.08
000002,万  科Ａ,101,1,2024-03-08,9.21,9.18,9.24,9.09,1007480.0,921569984,1.63,-0.33,-0.03,1.04
000002,万  科Ａ,101,1,2024-03-11,9.29,9.46,9.46,9.23,1556540.0,1457929984,2.51,3.05,0.28,1.6
000002,万  科Ａ,101,1,2024-03-12,9.4,10.0,10.2,9.36,3324020.0,3258860032,8.88,5.71,0.54,3.42
000002,万  科Ａ,101,1,2024-03-13,9.83,9.69,9.87,9.66,1936000.0,1886150016,2.1,-3.1,-0.31,1.99
000002,万  科Ａ,101,1,2024-03-14,9.64,9.71,9.86,9.6,1381990.0,1343779968,2.68,0.21,0.02,1.42
000002,万  科Ａ,101,1,2024-03-15,9.62,9.47,9.71,9.4,1446180.0,1371559936,3.19,-2.47,-0.24,1.49
000002,万  科Ａ,101,1,2024-03-18,9.46,9.44,9.46,9.32,1138580.0,1068190016,1.48,-0.32,-0.03,1.17
000002,万  科Ａ,101,1,2024-03-19,9.39,9.33,9.43,9.32,962478.0,901174016,1.17,-1.17,-0.11,0.99
000002,万  科Ａ,101,1,2024-03-20,9.3,9.36,9.38,9.26,732955.0,683305024,1.29,0.32,0.03,0.75
000002,万  科Ａ,101,1,2024-03-21,9.36,9.4,9.52,9.34,1157670.0,1092720000,1.92,0.43,0.04,1.19
000002,万  科Ａ,101,1,2024-03-22,9.36,9.26,9.37,9.17,1031190.0,953270976,2.13,-1.49,-0.14,1.06
000002,万  科Ａ,101,1,2024-03-25,9.28,9.34,9.49,9.18,1209350.0,1129289984,3.35,0.86,0.08,1.24
000002,万  科Ａ,101,1,2024-03-26,9.33,9.46,9.52,9.3,1177540.0,1108889984,2.36,1.28,0.12,1.21
000002,万  科Ａ,101,1,2024-03-27,9.42,9.21,9.43,9.2,915095.0,850076032,2.43,-2.64,-0.25,0.94
000002,万  科Ａ,101,1,2024-03-28,9.18,9.24,9.32,9.17,671161.0,621065984,1.63,0.33,0.03,0.69
000002,万  科Ａ,101,1,2024-03-29,8.96,9.0,9.1,8.89,1481700.0,1329609984,2.27,-2.6,-0.24,1.52
