code,name,ktype,fq,tdate,open,close,high,low,cjl,cje,zf,zdf,zde,hsl
"股票代码","股票名称","K线类别","复权信息，除沪深京A股、B股、港股外，其余复权值默认为前复权","交易时间","开盘价","收盘价","最高价","最低价","成交量","成交额","振幅","涨跌幅","涨跌额","换手率"
"000001","平安银行","101","1","2024-10-15","11.34","11.3","11.63","11.28","2072840.0","2500969984","3.06","-1.05","-0.12","1.07"
"000001","平安银行","101","1","2024-10-16","11.2","11.46","11.58","11.17","1914490.0","2301339904","3.63","1.42","0.16","0.99"
"000001","平安银行","101","1","2024-10-17","11.47","11.35","11.63","11.33","1653710.0","1993260032","2.62","-0.96","-0.11","0.85"
"000001","平安银行","101","1","2024-10-18","11.31","11.44","11.58","11.08","2604650.0","3105819904","4.41","0.79","0.09","1.34"
"000001","平安银行","101","1","2024-10-21","11.34","11.21","11.34","11.03","2806660.0","3302020096","2.71","-2.01","-0.23","1.45"
"000001","平安银行","101","1","2024-10-22","11.16","11.19","11.33","11.12","1617790.0","1908440064","1.87","-0.18","-0.02","0.83"
"000001","平安银行","101","1","2024-10-23","11.22","11.26","11.29","11.15","1511870.0","1787239936","1.25","0.63","0.07","0.78"
"000001","平安银行","101","1","2024-10-24","11.21","11.15","11.26","11.12","885299.0","1042819968","1.24","-0.98","-0.11","0.46"
"000001","平安银行","101","1","2024-10-25","11.17","11.11","11.18","11.09","1105760.0","1296839936","0.81","-0.36","-0.04","0.57"
"000001","平安银行","101","1","2024-10-28","11.08","11.04","11.08","10.93","1169490.0","1356009984","1.35","-0.63","-0.07","0.6"
"000001","平安银行","101","1","2024-10-29","11.02","10.94","11.14","10.93","1198020.0","1391149952","1.9","-0.91","-0.1","0.62"
"000001","平安银行","101","1","2024-10-30","10.9","10.72","10.98","10.67","1482400.0","1686499968","2.83","-2.01","-0.22","0.76"
"000001","平安银行","101","1","2024-10-31","10.73","10.78","10.84","10.64","1250200.0","1419619968","1.87","0.56","0.06","0.64"
"000001","平安银行","101","1","2024-11-01","10.78","10.83","10.95","10.74","1589810.0","1821420032","1.95","0.46","0.05","0.82"
"000001","平安银行","101","1","2024-11-04","10.83","10.86","10.86","10.66","1131520.0","1285869952","1.85","0.28","0.03","0.58"
"000001","平安银行","101","1","2024-11-05","10.82","11.05","11.06","10.79","1665420.0","1925260032","2.49","1.75","0.19","0.86"
"000001","平安银行","101","1","2024-11-06","11.02","10.95","11.04","10.87","1462290.0","1689980032","1.54","-0.9","-0.1","0.75"
"000001","平安银行","101","1","2024-11-07","10.9","11.31","11.33","10.88","2242840.0","2627010048","4.11","3.29","0.36","1.16"
"000001","平安银行","101","1","2024-11-08","11.34","11.12","11.41","11.1","1895100.0","2239059968","2.74","-1.68","-0.19","0.98"
"000001","平安银行","101","1","2024-11-11","11.03","11.0","11.08","10.87","1486950.0","1717959936","1.89","-1.08","-0.12","0.77"
"000001","平安银行","101","1","2024-11-12","10.98","10.94","11.24","10.91","1717660.0","2005789952","3.0","-0.55","-0.06","0.89"
"000001","平安银行","101","1","2024-11-13","10.9","11.01","11.1","10.88","1086260.0","1260160000","2.01","0.64","0.07","0.56"
"000001","平安银行","101","1","2024-11-14","10.99","10.94","11.1","10.93","1159780.0","1348380032","1.54","-0.64","-0.07","0.6"
"000001","平安银行","101","1","2024-11-15","10.9","10.84","11.01","10.82","1215780.0","1399309952","1.74","-0.91","-0.1","0.63"
